name,ratings,price,camera,display,battery,storage,ram,processor,android_version
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)",4.2,17989,50,other_types,6000,128,6,not mentioned,13
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)",4.2,15490,50,other_types,6000,128,6,not mentioned,13
"SAMSUNG Galaxy M52 5G (Icy Blue, 128 GB)",4.4,28999,64,other_types,5000,128,6,not mentioned,11
"SAMSUNG Galaxy A50 (Black, 64 GB)",4.4,24000,25,AMOLED,4000,64,6,not mentioned,9
"SAMSUNG Galaxy M52 5G (Blazing Black, 128 GB)",4.4,24999,64,other_types,5000,128,6,not mentioned,11
"SAMSUNG Galaxy S23 Ultra 5G (Green, 1 TB)",4.0,23927,200,HD+ AMOLED,5000,1,12,Gen8,13
"SAMSUNG Galaxy A04 (Copper, 64 GB)",4.4,11199,50,LCD,5000,64,4,not mentioned,12
"SAMSUNG Galaxy J6 (Blue, 32 GB)",4.3,11500,13,other_types,3000,32,3,not mentioned,8
"SAMSUNG Galaxy S22 5G (Phantom White, 256 GB)",4.2,7463,50,AMOLED,3700,256,8,not mentioned,12
"SAMSUNG Galaxy M11 (Black, 32 GB)",4.3,12999,13,LCD,5000,32,3,Snapdragon(SDM450-F01),10
"SAMSUNG Galaxy Z Flip4 5G (Bora Purple, 256 GB)",4.3,29463,12,HD+ AMOLED,3700,256,8,Snapdragon1P,12
"SAMSUNG Galaxy A50s (Prism Crush White, 128 GB)",4.3,24900,48,other_types,4000,128,4,not mentioned,9
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)",3.9,19990,50,other_types,6000,128,8,not mentioned,13
"SAMSUNG Galaxy A14 (Silver, 128 GB)",4.2,16399,50,LCD,5000,128,4,not mentioned,12
"SAMSUNG Galaxy F54 5G (Meteor Blue, 256 GB)",4.1,29999,108,HD+ AMOLED,6000,256,8,not mentioned,13
"SAMSUNG Galaxy A14 (Light Green, 64 GB)",3.9,13999,50,LCD,5000,64,4,not mentioned,13
"SAMSUNG Galaxy S22 5G (Phantom Black, 256 GB)",4.3,7463,50,AMOLED,3700,256,8,not mentioned,12
"SAMSUNG Galaxy A13 (Blue, 64 GB)",4.1,14990,50,other_types,5000,64,4,not mentioned,12
"SAMSUNG Galaxy M12 (Black, 128 GB)",4.0,16999,48,other_types,6000,128,6,not mentioned,11
"SAMSUNG Galaxy S22 Plus 5G (Green, 256 GB)",4.3,23463,50,AMOLED,4500,256,8,Gen8,12
"SAMSUNG Galaxy S22 5G (Phantom White, 128 GB)",4.4,7454,50,AMOLED,3700,128,8,not mentioned,12
"SAMSUNG Galaxy A7 (Black, 64 GB)",4.1,22300,24,AMOLED,3300,64,4,not mentioned,8
